"CONTEXT", "ID", "TEXT"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","Visum"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Dieses Visum berechtigt zur vorbehaltlichen Einreise in den souveränen Staat Arstotzka."
"AccessPermitInner","NAME","NAME"
"AccessPermitInner","NATIONALITY","NATIONALITÄT"
"AccessPermitInner","PURPOSE","ZWECK"
"AccessPermitInner","HEIGHT","GRÖSSE"
"AccessPermitInner","PHYSICAL APPEARANCE","BESONDERE MERKMALE"
"AccessPermitInner","ID NUMBER","AUSWEIS-NR."
"AccessPermitInner","DURATION","DAUER"
"AccessPermitInner","WEIGHT","GEWICHT"
"AccessPermitInner","ENTER BY","EINREISE BIS"
"AccessPermitInner","Keep on person","Stets mitführen"
"AccessPermitInner","Ministry of Admission","Ministerium für Grenzschutz"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","ASYLBESCHEID"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Dieses Dokument gewährt vorbehaltliches Asyl innerhalb der Grenzen Arstotzkas."
"AsylumGrantInner","NAT","NAT"
"AsylumGrantInner","ID#","NR."
"AsylumGrantInner","DOB","GEB"
"AsylumGrantInner","HT","GR"
"AsylumGrantInner","WT","GW"
"AsylumGrantInner","Offer expires after","Ausreisedatum"
"AsylumGrantInner","Ministry of Admission","Ministerium für Grenzschutz"
"BizCardInnerFront","ENGINEERING","MASCHINENBAU"
"BizCardInnerFront","Director","Direktor"
"BizCardInnerBack","WE NEED ENGINEERS","INGENIEURE GESUCHT!"
"BizCardInnerBack","WILL BEAT .GOV PAY","MEHR GELD ALS V. STAAT"
"BizCardInnerBack","CONTACT NOW","ANRUFEN!"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","Ein Mann namens <span>Dari Ludum</span> hat mir und meiner Schwester Arbeit in Arstotzka versprochen."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Ich fürchte, er nimmt mir den Paß weg und zwingt mich, auf den Strich zu gehen. Er ist heute in der Schlange."
"BrothelHelpInner","Please do something.","Bitte tun Sie etwas."
"BulletinInnerDiploTut","Diplomat","Diplomat"
"BulletinInnerDiploTut","Verification Procedure","Prüfungsverfahren"
"BulletinInnerDiploTut","Verify issuing country","Land prüfen"
"BulletinInnerDiploTut","Verify identity","Identität prüfen"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Diplomatischen Status und Einreise nach Arstotzka prüfen"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Fehlende Dokumente können durch Auswahl des Tresens und des Absatzes in den Vorschriften abgeglichen werden."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Gleichen Sie den relevanten Absatz der Vorschriften mit den falschen Daten ab, um Zugriff auf weitere Optionen zu bekommen."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Gleichen Sie entdeckte Waffen und Schmugglergut mit den Vorschriften ab."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Markieren Sie zwei Diskrepanzen im PRÜF-Modus, um ein Verhör durchführen zu können."
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Berühren und ziehen, um aktuelle Auswahl zu verfeinern."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Achten Sie auf die im Paß angegebene Nationalität."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Ministerium für Grenzschutz"
"BulletinInnerBoothTut","Inspector's Booth","Grenzposten-Kabine"
"BulletinInnerBoothTut","Shutter","Rolladen"
"BulletinInnerBoothTut","Counter","Tresen"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Vorschriften<br>Audio-Transkript<br>Depeschen<br>Zeit &amp; Datum"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Ministerium für Grenzschutz"
"BulletinInnerBoothTut2","Inspector's Booth","Grenzposten-Kabine"
"BulletinInnerBoothTut2","Shutter","Rolladen"
"BulletinInnerBoothTut2","Counter","Tresen"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Audio-Transkript<br>
Vorschriften<br>
Gewicht"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Depeschen<br>Zeit &amp; Datum"
"BulletinInnerGunTut","Weapons Protocol","Schußwaffengebrauch"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","BEI ALARM"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Ziehen Sie den Schlüssel auf das Schloß, um den Waffenschrank zu öffnen."
"BulletinInnerGunTut","Select gun, aim and fire.","Wählen Sie die Waffe, zielen und schießen Sie."
"BulletinInnerGunTut","Time is short. Act fast.","Sie haben nur wenig Zeit. Handeln Sie umgehend."
"BulletinInnerFilerTut","Passport Confiscation","Paß-Konfiszierung"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Prüfen Sie, ob die Person in ALTAN ansässig ist."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Werfen Sie den Paß in die Konfiszierungsschublade."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Die Konfiszierung ist bei Arrest stets vor der Verhaftung durchzuführen."
"BulletinInnerCriminals","Ministry of Justice","Ministerium der Justiz"
"BulletinInnerCriminals","WANTED CRIMINALS","GESUCHTE KRIMINELLE"
"BulletinInnerNews","NEWS","AKTUELL"
"BulletinPagesNote","CHECK ALL<br>PAGES","ALLE SEITEN<br>LESEN"
"CitationInner","M.O.A. CITATION","MfG-BERICHT"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Diplomatische<br>Akkreditierung"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Kraft dieses Dokuments ist der unten bezeichnete Agent als diplomatischer Vertreter eines Mitgliedsstaates des Völkerrates akkreditiert."
"DiplomaticAuthInner","AGENT","AGENT"
"DiplomaticAuthInner","PASSPORT","PASS-NR."
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Der Inhaber hat unbeschränkten Zugang zu folgenden Staaten:"
"DiplomaticAuthInner","This document has no expiry.","Dokument hat kein Ablaufdatum."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","VÖLKERRAT - FORUM DER SIEBEN"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","Einreise-<br>Genehmigung"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Vorbehaltliche Erteilung einer Einreise-Genehmigung für den souveränen Staat Arstotzka für"
"EntryPermitInner","bearing passport number","mit Paß-Nummer"
"EntryPermitInner","Purpose","Zweck"
"EntryPermitInner","Duration","Dauer"
"EntryPermitInner","Enter by","Einreise bis"
"EntryPermitInner","Ministry of Admission","Ministerium für Grenzschutz"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","EINREISEBELEG"
"EntryTicketInner","VALID ON","GÜLTIG AM"
"EzicNoteInnerOpen","READ QUICKLY","SCHNELL LESEN"
"EzicNoteInnerOpen","RETURN TO MESSENGER","ZURÜCK AN BOTEN"
"FamilyPhotoInner","HANG ON WALL","AUFHÄNGEN"
