"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"paper:BulletinInnerScrollTut","Use the directional buttons or analog sticks to quickly scroll.","方向キー又は左右スティックで素早くスクロールせよ。"
"night:BUY_UPGRADE0","Booth Upgrade Available: TRIANGLE button to toggle INSPECT mode.","審査室改良可能：△ボタンで調査モードに切替。"
"night:BUY_UPGRADE1","Booth Upgrade Available: SQUARE button to toggle stamp bar.","審査室改良可能：□ボタンでスタンプバー表示。"
"text:leader_global","Global","Global"
"text:leader_friends","Friends","フレンド"
"text:leader_gototop","GO TO TOP","GO TO TOP"
"text:leader_myrank","MY RANK","MY RANK"
"text:leader_rankamongfriends","$0 ranked among friends.","$0 ranked among friends."
"text:leader_rankamongworld","$0 ranked worldwide.","$0 ranked worldwide."
"text:leader_error","An unknown error occurred.","An unknown error occurred."
"text:leader_error_norankings","No rankings found.","No rankings found."
"text:leader_error_notsignedin","Not signed in.","Not signed in."
"text:leader_error_maintenance","Ranking service is under maintenance.","Ranking service is under maintenance."
"text:leader_error_ended","Ranking service has ended.","Ranking service has ended."
"text:leader_error_cantsubmit","Unable to submit high score.","Unable to submit high score."
"text:leader_error_cantsubmit_badowner","Unable to submit high score. Invalid save data owner.","Unable to submit high score. Invalid save data owner."
"achievement:ACH_TOKEN_ANTEGRIA","Antegria Token","Antegria Token"
"achievement:ACH_TOKEN_ANTEGRIA","Collect the hidden Antegria Token","Collect the hidden Antegria Token"
"achievement:ACH_TOKEN_ARSTOTZKA","Arstotzka Token","Arstotzka Token"
"achievement:ACH_TOKEN_ARSTOTZKA","Collect the hidden Arstotzka Token","Collect the hidden Arstotzka Token"
"achievement:ACH_TOKEN_IMPOR","Impor Token","Impor Token"
"achievement:ACH_TOKEN_IMPOR","Collect the hidden Impor Token","Collect the hidden Impor Token"
"achievement:ACH_TOKEN_KOLECHIA","Kolechia Token","Kolechia Token"
"achievement:ACH_TOKEN_KOLECHIA","Collect the hidden Kolechia Token","Collect the hidden Kolechia Token"
"achievement:ACH_TOKEN_OBRISTAN","Obristan Token","Obristan Token"
"achievement:ACH_TOKEN_OBRISTAN","Collect the hidden Obristan Token","Collect the hidden Obristan Token"
"achievement:ACH_TOKEN_REPUBLIA","Republia Token","Republia Token"
"achievement:ACH_TOKEN_REPUBLIA","Collect the hidden Republia Token","Collect the hidden Republia Token"
"achievement:ACH_TOKEN_UNITEDFED","United Federation Token","United Federation Token"
"achievement:ACH_TOKEN_UNITEDFED","Collect the hidden United Federation Token","Collect the hidden United Federation Token"
"achievement:ACH_END_TURNEDOVEREZICDOCS","Too Honest","Too Honest"
"achievement:ACH_END_TURNEDOVEREZICDOCS","Turn over EZIC docs to M.O.I investigator","Turn over EZIC docs to M.O.I investigator"
"achievement:ACH_END_KILLEDTARGET","Hired Rifle","Hired Rifle"
"achievement:ACH_END_KILLEDTARGET","Kill the man in red for EZIC","Kill the man in red for EZIC"
"achievement:ACH_END_HELPEZICHOLDFIRE","Member of the Order","Member of the Order"
"achievement:ACH_END_HELPEZICHOLDFIRE","Help EZIC overthrow the government","Help EZIC overthrow the government"
"achievement:ACH_END_ESCAPE","Snowier Pastures","Snowier Pastures"
"achievement:ACH_END_ESCAPE","Escape to Obristan","Escape to Obristan"
"achievement:ACH_END_IGNOREEZIC","Glory to Arstotzka","Glory to Arstotzka"
"achievement:ACH_END_IGNOREEZIC","Ignore all EZIC requests and work dutifully","Ignore all EZIC requests and work dutifully"
"achievement:ACH_APT_CLASS5","Worker's Best","Worker's Best"
"achievement:ACH_APT_CLASS5","Acquire a Class-5 Apartment","Acquire a Class-5 Apartment"
"AccessPermitInner","ARSTOTZKA","アルストツカ"
"AccessPermitInner","Access Permit","入境許可証"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","本許可証は主権国家アルストツカへの条件付き入国を認めるものである。"
"AccessPermitInner","NAME","氏名"
"AccessPermitInner","NATIONALITY","国籍"
"AccessPermitInner","PURPOSE","目的"
"AccessPermitInner","HEIGHT","身長"
