"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"paper:BulletinInnerScrollTut","Use the directional buttons or analog sticks to quickly scroll.","Użyj przycisków kierunku lub drążków analogowych, aby szybko przewinąć."
"night:BUY_UPGRADE0","Booth Upgrade Available: TRIANGLE button to toggle INSPECT mode.","Dostępne ulepszenie: przycisk TRÓJKĄT włącza tryb DOCHODZENIA."
"night:BUY_UPGRADE1","Booth Upgrade Available: SQUARE button to toggle stamp bar.","Dostępne ulepszenie: przycisk KWADRAT pokazuje/chowa pasek stempla."
"text:leader_global","Global","Global"
"text:leader_friends","Friends","Znajomi"
"text:leader_gototop","GO TO TOP","IDŹ NA GÓRĘ"
"text:leader_myrank","MY RANK","MY RANK"
"text:leader_rankamongfriends","$0 ranked among friends.","$0 ranked among friends."
"text:leader_rankamongworld","$0 ranked worldwide.","$0 ranked worldwide."
"text:leader_error","An unknown error occurred.","Wystąpił nieznany błąd."
"text:leader_error_norankings","No rankings found.","No rankings found."
"text:leader_error_notsignedin","Not signed in.","Not signed in."
"text:leader_error_maintenance","Ranking service is under maintenance.","Ranking service is under maintenance."
"text:leader_error_ended","Ranking service has ended.","Ranking service has ended."
"text:leader_error_cantsubmit","Unable to submit high score.","Nie można przesłać wyniku."
"text:leader_error_cantsubmit_badowner","Unable to submit high score. Invalid save data owner.","Nie można przesłać wyniku. Niewłaściwy właściciel zapisanych danych."
"achievement:ACH_TOKEN_ANTEGRIA","Antegria Token","Token Antegrii"
"achievement:ACH_TOKEN_ANTEGRIA","Collect the hidden Antegria Token","Zbierz ukryty Token Antegrii"
"achievement:ACH_TOKEN_ARSTOTZKA","Arstotzka Token","Token Arstoczki"
"achievement:ACH_TOKEN_ARSTOTZKA","Collect the hidden Arstotzka Token","Zbierz ukryty Token Arstoczki"
"achievement:ACH_TOKEN_IMPOR","Impor Token","Token Imporu"
"achievement:ACH_TOKEN_IMPOR","Collect the hidden Impor Token","Zbierz ukryty Token Imporu"
"achievement:ACH_TOKEN_KOLECHIA","Kolechia Token","Token Kolechii"
"achievement:ACH_TOKEN_KOLECHIA","Collect the hidden Kolechia Token","Zbierz ukryty Token Kolechii"
"achievement:ACH_TOKEN_OBRISTAN","Obristan Token","Token Obristanu"
"achievement:ACH_TOKEN_OBRISTAN","Collect the hidden Obristan Token","Zbierz ukryty Token Obristanu"
"achievement:ACH_TOKEN_REPUBLIA","Republia Token","Token Republii"
"achievement:ACH_TOKEN_REPUBLIA","Collect the hidden Republia Token","Zbierz ukryty Token Republii"
"achievement:ACH_TOKEN_UNITEDFED","United Federation Token","Token Zjednoczonej Federacji"
"achievement:ACH_TOKEN_UNITEDFED","Collect the hidden United Federation Token","Zbierz ukryty Token Zjednoczonej Federacji"
"achievement:ACH_END_TURNEDOVEREZICDOCS","Too Honest","Szczery do bólu"
"achievement:ACH_END_TURNEDOVEREZICDOCS","Turn over EZIC docs to M.O.I investigator","Przekaż dokumenty EZIC śledczemu z Ministerstwa Informacji"
"achievement:ACH_END_KILLEDTARGET","Hired Rifle","Cyngiel"
"achievement:ACH_END_KILLEDTARGET","Kill the man in red for EZIC","Zabij mężczyznę w czerwieni dla EZIC"
"achievement:ACH_END_HELPEZICHOLDFIRE","Member of the Order","Członek Zakonu"
"achievement:ACH_END_HELPEZICHOLDFIRE","Help EZIC overthrow the government","Pomóż EZIC obalić rząd"
"achievement:ACH_END_ESCAPE","Snowier Pastures","Zaśnieżone pastwiska"
